Artist,Album,Year,Listened To?,Bought,Want,Don't want
Don Cherry,Relativity Suite,1973
Cecil Taylor,Spring of Two Blue J's,1973
Keith Jarrett,Solo Concerts,1973
McCoy Tyner,Enlightnment,1973
Carla Bley,Tropic Appetites,1973
Dollar Brand,African Space Program,1973
Marion Brown,Geechee Recollections,1973
Herbie Hancock,Sextant,1973
Frank Wright,Church Number Nine,1973
Gato Barbieri,Latin America,1973
Frank Lowe,Black Beings,1973
Ralph Towner,Diary,1973
Dewey Redman,The Ear of the Behearer,1973
Eberhard Weber,Colours of Chloe,1973
Roswell Rudd,Numatik Swing Band,1973
Oregon,Distant Hills,1973
Dollar Brand,African Portraits,1973
Weather Report,Sweetnighter,1973
David Liebman,Lookout Farm,1973
Oscar Peterson,Trio,1973
Cecil Taylor,Solo,1973
John Surman,Morning Glory,1973
Betty Carter,Album,1973
Mal Waldron,Up Popped the Devil,1973
Michael Mantler,No Answer,1973
Billy Cobham,Spectrum,1973
Herbie Hancock,Headhunters,1973
Spontaneous Music Ensemble,Mouthpiece,1973
Charles Earland,Leaving This Planet,1973
Flora Purim,Butterfly Dreams,1973
Herbie Hancock,Thrust,1973
Billy Cobham,Crosswinds,1973
Sam Rivers,Crystals,1974
Cecil Taylor,Silent Tongues,1974
Steve Lacy,Saxophone Special,1974
Jeanne Lee,Conspiracy,1974
Leo Smith,Reflectativity,1974
Bennie Maupin,The Jewel In The Lotus,1974
Weather Report,Mysterious Traveller,1974
Randy Weston,Blues To Africa,1974
Marion Brown,Sweet Earth Flying,1974
Paul Rutherford,Gentle Harm of the Bourgeoisie,1974
Marvin Peterson,Children of the Fire,1974
John Abercrombie,Timeless,1974
Roswell Rudd,Flexible Flyer,1974
McCoy Tyner,Atlantis,1974
Globe Unity Orchestra,Hamburg '74,1974
Cecil McBee,Mutima,1974
Mahavishnu Orchestra,Apocalypse,1974
Ralph Towner,Solstice,1974
Terje Rypdal,Whenever I Seem To Be Far Away,1974
Roscoe Mitchell,Solo Saxophone Concerts,1974
Steve Kuhn,Ecstasy,1974
Joe McPhee,Pieces Of Light,1974
Keith Jarrett,Death and the Flower,1974
Steve Kuhn,Trance,1974
Steve Lacy,Scraps,1974
David Liebman,Drum Ode,1974
Kenny Barron,Peruvian Blue,1974
Tete Montoliu,Music for Perla,1974
Bill Watrous,Manhattan Wildlife Refuge,1974
Lonnie Liston Smith,Expansions,1974
Mike Gibbs,Only Chrome Waterfall,1974
McCoy Tyner,Sama Layuca,1974
Oregon,Winter Light,1974
Billy Cobham,Total Eclipse,1974
Keith Jarrett,The Koeln Concert,1975
Revolutionary Ensemble,The Psyche,1975
Miles Davis,Pangaea,1975
Evan Parker,Saxophone Solos,1975
Leroy Jenkins,For Players Only,1975
Air,Air Song,1975
Oliver Lake,Heavy Spirits,1975
Kenny Wheeler,Gnu High,1975
Terje Rypdal,Odyssey,1975
Steve Lacy,Dreams,1975
Pat Metheny,Bright Size Life,1975
Anthony Braxton,Five Pieces,1975
Don Pullen,Solo Piano Album,1975
Dexter Gordon,Bouncing' with Dex,1975
Michael Mantler,Michael Mantler - Carla Bley,1975
Sonny Sharrock,Paradise,1975
Dudu Pukwana,Diamond Express,1975
Kenny Barron,Lucifer,1975
Frank Lowe,The Flam,1975
John Surman,S.O.S.,1975
Don Pullen,Healing Force,1975
Miles Davis,Get Up With It,1975
Julius Hemphill,Coon Bid'ness,1975
Gateway Trio,Gateway,1975
Collin Walcott,Cloud Dance,1975
Don Moye,Sun Percussion,1975
Martial Solal,Nothing But Piano,1975
Eberhard Weber,Yellow Fields,1975
Don Pullen,Five To Go,1975
Charles Tolliver,Impact,1975
Lol Coxhill,Welfare State,1975
David Liebman,Forgotten Fantasies,1975
Joe McPhee,The Willisau Concert,1975
Yosuke Yamashita,Chiasma,1975
Michael Mantler,The Hapless Child,1975
Dollar Brand,Soweto,1975
Don Pullen,Capricorn Rising,1975
Stanley Clarke,Journey to Love,1975
Enrico Rava,The Pilgrim and the Stars,1975
Manhattan Transfer,Manhattan Transfer,1975
Keith Jarrett,Survivors Suite,1976
George Lewis,Solo Trombone Record,1976
Air,Air Raid,1976
David Murray,Flowers for Albert,1976
Derek Bailey,Company 1,1976
Jan Garbarek,Dis,1976
Irene Schweizer,Wilde Senoritas,1976
Albert Mangelsdorff,Tromboneliness,1976
Leo Smith,Song of Humanity,1976
Tony Coe,Zeitgeist,1976
Ornette Coleman,Dancing in Your Head,1976
Jaco Pastorius,Jaco Pastorius,1976
Martial Solal,Movability,1976
Hamiet Bluiett,Endangered Species,1976
Art Lande,Rubisa Patrol,1976
Chick Corea,Romantic Warrior,1976
George Adams,Suite For Swingers,1976
Jean-Luc Ponty,Imaginary Voyage,1976
David Friesen,Star Dance,1976
Dexter Gordon,Biting the Apple,1976
Joachim Kuhn,Springfever,1976
Eberhard Weber,The Following Morning,1976
Lew Tabackin,Dual Nature,1976
Chico Freeman,Morning Prayer,1976
Weather Report,Black Market,1976
Charles Tyler,Saga Out of the Outlaws,1976
Al DiMeola,Land of The Midnight Sun,1976
Woody Shaw,Little Red's Fantasy,1976
Stanley Clarke,School Days,1976
Yosuke Yamashita,Banslikana,1976
Ran Blake,Wende,1976
Guenter Christmann,Solomusiken Fuer Posaune und Kontrabasse,1976
Egberto Gismondi,Danca Das Cabecas,1976
George Lewis,Chicago Slow Dance,1977
Air,Air Time,1977
George Lewis,Shadowgraph,1977
Joe McPhee,Graphics,1977
James Ulmer,Revealing,1977
Pat Metheny,Watercolors,1977
John Scofield,East Meets West,1977
Leroy Jenkins,Solo Concert,1977
